Question_ID,Answer_ID,Question_Text,Answer_Text,Category,Parent_Answer_ID,Hierarchy_Level,Is_Selectable,Axis_Energy,Axis_Pace,Axis_Orientation,Axis_Structure,Axis_Expression,Alignment_Type,Alignment_ID,Alignment_Name,Alignment_Components,Alignment_Text
,,,,COLOR,,,FALSE,2,2,2,-1,2,SOLO,SOLO_COLOR_RED,Red - The Pulse of Intention,COLOR_RED,"Red creates momentum through instinct, passion, and decisive action, moving forward without waiting for certainty. It becomes force with direction — energy shaped by purpose rather than chaos."
,,,,COLOR,,,FALSE,,,,,,SYNERGY,SYNERGY_COLOR_RED_COLOR_YELLOW,Red and Yellow – Synergy of Drive and Illumination,COLOR_RED+COLOR_YELLOW,"Red drives action while Yellow provides clarity, turning movement into something directed and intentional. This synergy creates visible momentum — ambition guided by understanding and purpose."
,,,,COLOR,,,FALSE,,,,,,SYNERGY,SYNERGY_COLOR_RED_COLOR_ORANGE,Red and Orange – Synergy of Courage and Joy,COLOR_RED+COLOR_ORANGE,"Red initiates action while Orange amplifies it with warmth, creativity, and social energy. This synergy creates expressive momentum — where drive becomes engaging, energized, and sustained."
,,,,COLOR,,,FALSE,,,,,,SYNERGY,SYNERGY_COLOR_RED_COLOR_BLACK,Red and Black – Synergy of Power and Precision,COLOR_RED+COLOR_BLACK,"Red drives action through intensity and instinct, while Black refines that energy with discipline and control. This synergy creates focused power — where emotion is directed into precise, intentional execution."
,,,,COLOR,,,FALSE,,,,,,SYNERGY,SYNERGY_COLOR_RED_MEDIA_MUSIC_ROCK,Red and Rock/Metal – Synergy of Passion and Rebellion,COLOR_RED+MEDIA_MUSIC_ROCK,"Red fuels raw drive and bold expression, while Rock and Metal amplify it through rhythm, volume, and emotional release. This synergy creates defiant momentum — where intensity becomes movement, and feeling turns into action."
,,,,COLOR,,,FALSE,,,,,,SYNERGY,SYNERGY_COLOR_RED_MEDIA_MUSIC_HIPHOP,Red and Hip-Hop / R&B - Synergy of Passion and Voice,COLOR_RED+MEDIA_MUSIC_HIPHOP,"Red provides the drive to act, while Hip-Hop and R&B shape that energy into rhythm, voice, and narrative. This synergy creates expressive identity — where intensity becomes communication, and action carries meaning."
,,,,COLOR,,,FALSE,,,,,,SYNERGY,SYNERGY_COLOR_RED_ENV_CITY_DOWNTOWN,Red and Downtown Energy – Synergy of Ambition and Presence,COLOR_RED+ENV_CITY_DOWNTOWN,"Red drives action, while Downtown gives it visibility and audience. This synergy turns ambition into presence — movement that is seen, felt, and remembered."
,,,,COLOR,,,FALSE,,,,,,HARMONY,HARMONY_COLOR_RED_COLOR_BLUE,Red and Blue – Harmony of Passion and Peace,COLOR_RED+COLOR_BLUE,"Red brings intensity, while Blue adds calm and control. This harmony creates directed energy — where passion moves with clarity instead of urgency."
,,,,COLOR,,,FALSE,,,,,,HARMONY,HARMONY_COLOR_RED_COLOR_WHITE,Red and White – Harmony of Strength and Clarity,COLOR_RED+COLOR_WHITE,"Red provides force, while White refines it with clarity. This harmony turns raw drive into clean intention — focused, steady, and deliberate."
,,,,COLOR,,,FALSE,,,,,,HARMONY,HARMONY_COLOR_RED_MEDIA_MUSIC_JAZZ,Red and Jazz / Lo-Fi – Harmony of Passion and Flow,COLOR_RED+MEDIA_MUSIC_JAZZ,"Red drives intensity, while Jazz and Lo-Fi introduce timing, variation, and adaptability. This harmony turns action into flow — responsive, expressive, and guided by rhythm."
