Question_ID,Answer_ID,Question_Text,Answer_Text,Category,Parent_Answer_ID,Hierarchy_Level,Is_Selectable,Axis_Energy,Axis_Pace,Axis_Orientation,Axis_Structure,Axis_Expression,Alignment_Type,Alignment_ID,Alignment_Name,Alignment_Components,Alignment_Text
Q1_COLOR,COLOR_RED,What color feels most like your energy?,RED,COLOR,,1,TRUE,2,2,2,-1,2,,,,,
Q1_COLOR,COLOR_BLUE,What color feels most like your energy?,BLUE,COLOR,,1,TRUE,-1,-2,-1,1,-1,,,,,
Q1_COLOR,COLOR_GREEN,What color feels most like your energy?,GREEN,COLOR,,1,TRUE,0,-1,-1,1,0,,,,,
Q1_COLOR,COLOR_PURPLE,What color feels most like your energy?,PURPLE,COLOR,,1,TRUE,1,0,-1,-1,1,,,,,
Q1_COLOR,COLOR_YELLOW,What color feels most like your energy?,YELLOW,COLOR,,1,TRUE,2,1,2,-1,2,,,,,
Q1_COLOR,COLOR_ORANGE,What color feels most like your energy?,ORANGE,COLOR,,1,TRUE,2,2,2,-2,2,,,,,
Q1_COLOR,COLOR_BLACK,What color feels most like your energy?,BLACK,COLOR,,1,TRUE,0,1,1,2,-2,,,,,
Q1_COLOR,COLOR_WHITE,What color feels most like your energy?,WHITE,COLOR,,1,TRUE,-1,-2,-2,2,-2,,,,,
Q2_NAVIGATION,NAV_ACTION,Which statement feels most true about how you move through life?,I MAKE IT HAPPEN,NAVIGATION,,1,TRUE,2,2,1,2,1,,,,,
Q2_NAVIGATION,NAV_FLOW,Which statement feels most true about how you move through life?,I LET IT FLOW,NAVIGATION,,1,TRUE,-1,-2,-2,-2,-1,,,,,
Q2_NAVIGATION,NAV_HEAL,Which statement feels most true about how you move through life?,I HEAL AND MOVE ON ,NAVIGATION,,1,TRUE,-1,-1,-2,-1,0,,,,,
Q2_NAVIGATION,NAV_CREATE,Which statement feels most true about how you move through life?,I CREATE MY WORLD,NAVIGATION,,1,TRUE,1,0,-1,-1,2,,,,,
